Date,Symbol,Close
1/2/2014,INTU,75.94
1/3/2014,INTU,75.8
1/6/2014,INTU,75.74
1/7/2014,INTU,77.06
1/8/2014,INTU,76.44
1/9/2014,INTU,76.63
1/10/2014,INTU,76.24
1/13/2014,INTU,75.01
1/14/2014,INTU,76.06
1/15/2014,INTU,76.78
1/16/2014,INTU,76.79
1/17/2014,INTU,76.99
1/21/2014,INTU,76.18
1/22/2014,INTU,75.57
1/23/2014,INTU,75.32
1/24/2014,INTU,73.24
1/27/2014,INTU,73.06
1/28/2014,INTU,73.48
1/29/2014,INTU,73.18
1/30/2014,INTU,74.19
1/31/2014,INTU,73.25
2/3/2014,INTU,70.81
2/4/2014,INTU,70.91
2/5/2014,INTU,70.75
2/6/2014,INTU,71.03
2/7/2014,INTU,71.45
2/10/2014,INTU,71.45
2/11/2014,INTU,72.72
2/12/2014,INTU,69.72
2/13/2014,INTU,70.72
2/14/2014,INTU,71.69
2/18/2014,INTU,73.05
2/19/2014,INTU,73.42
2/20/2014,INTU,73.85
2/21/2014,INTU,77.24
2/24/2014,INTU,77.41
2/25/2014,INTU,77.33
2/26/2014,INTU,77.7
2/27/2014,INTU,78.1
2/28/2014,INTU,78.15
3/3/2014,INTU,77.87
3/4/2014,INTU,80.91
3/5/2014,INTU,80.63
3/6/2014,INTU,80.73
3/7/2014,INTU,82.2
3/10/2014,INTU,81.82
3/11/2014,INTU,81.27
3/12/2014,INTU,80.93
3/13/2014,INTU,80.15
3/14/2014,INTU,79.91
3/17/2014,INTU,80.55
3/18/2014,INTU,80.66
3/19/2014,INTU,80.21
3/20/2014,INTU,80.69
3/21/2014,INTU,79.44
3/24/2014,INTU,78.81
3/25/2014,INTU,78.67
3/26/2014,INTU,77.72
3/27/2014,INTU,77.58
3/28/2014,INTU,77.77
3/31/2014,INTU,77.73
4/1/2014,INTU,78.89
4/2/2014,INTU,78.97
4/3/2014,INTU,78.58
4/4/2014,INTU,77.19
4/7/2014,INTU,74.79
4/8/2014,INTU,74.54
4/9/2014,INTU,75.11
4/10/2014,INTU,73.59
4/11/2014,INTU,72.52
4/14/2014,INTU,73.38
4/15/2014,INTU,73.74
4/16/2014,INTU,74.27
4/17/2014,INTU,74.03
4/21/2014,INTU,74
4/22/2014,INTU,74.84
4/23/2014,INTU,74.39
4/24/2014,INTU,74.16
4/25/2014,INTU,75.34
4/28/2014,INTU,74.69
4/29/2014,INTU,75.4
4/30/2014,INTU,75.75
5/1/2014,INTU,75.93
5/2/2014,INTU,75.29
5/5/2014,INTU,75.57
5/6/2014,INTU,74.67
5/7/2014,INTU,74.32
5/8/2014,INTU,74.62
5/9/2014,INTU,74.92
5/12/2014,INTU,76.11
5/13/2014,INTU,75.69
5/14/2014,INTU,74.99
5/15/2014,INTU,74.08
5/16/2014,INTU,75.51
5/19/2014,INTU,77.07
5/20/2014,INTU,76.84
5/21/2014,INTU,77.47
5/22/2014,INTU,78.32
5/23/2014,INTU,79.59
5/27/2014,INTU,80.14
5/28/2014,INTU,79.08
5/29/2014,INTU,79.11
5/30/2014,INTU,79.29
6/2/2014,INTU,79.43
6/3/2014,INTU,79.39
6/4/2014,INTU,79.3
6/5/2014,INTU,79.36
6/6/2014,INTU,80.03
6/9/2014,INTU,79.84
6/10/2014,INTU,79.16
6/11/2014,INTU,79.17
6/12/2014,INTU,78.91
6/13/2014,INTU,78.99
6/16/2014,INTU,78.91
6/17/2014,INTU,78.84
6/18/2014,INTU,79.33
6/19/2014,INTU,79.29
6/20/2014,INTU,79.5
6/23/2014,INTU,79.67
6/24/2014,INTU,80.55
6/25/2014,INTU,81.12
6/26/2014,INTU,80.96
6/27/2014,INTU,81.32
6/30/2014,INTU,80.53
7/1/2014,INTU,81.28
7/2/2014,INTU,81.3
7/3/2014,INTU,82.23
7/7/2014,INTU,81.22
7/8/2014,INTU,81.15
7/9/2014,INTU,81.06
7/10/2014,INTU,80.42
7/11/2014,INTU,80.45
7/14/2014,INTU,81.33
7/15/2014,INTU,81.17
7/16/2014,INTU,81.53
7/17/2014,INTU,80.78
7/18/2014,INTU,81.92
7/21/2014,INTU,81.43
7/22/2014,INTU,82.13
7/23/2014,INTU,82.03
7/24/2014,INTU,82.59
7/25/2014,INTU,82.64
7/28/2014,INTU,82.85
7/29/2014,INTU,82.68
7/30/2014,INTU,83.29
7/31/2014,INTU,81.97
8/1/2014,INTU,80.56
8/4/2014,INTU,81.02
8/5/2014,INTU,80.45
8/6/2014,INTU,80.96
8/7/2014,INTU,80.84
8/8/2014,INTU,81.38
8/11/2014,INTU,81.8
8/12/2014,INTU,82.03
8/13/2014,INTU,83.38
8/14/2014,INTU,83.81
8/15/2014,INTU,83.72
